"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
18302.5974890271,2.84503862935915,0.0776780796017028,36.6260165537973,1.10251474562132e-293,1.98320352442363e-289,"ERBB2"
5074.45920320164,2.05796310223146,0.0577256750583688,35.6507412022565,2.29477585290481e-278,2.06392140210258e-274,"PSMD3"
1703.22861438748,2.19292401427884,0.0626878544023232,34.981640944431,4.27923000042719e-268,2.56582630825614e-264,"STARD3"
1972.65991760977,2.43337393107555,0.0708139527772535,34.3629162847295,9.03329213488162e-259,4.06227147305626e-255,"C17orf37"
1309.92715379237,2.63512533985493,0.0782578906491288,33.6723277103082,1.46950939074165e-248,5.28670698413215e-245,"GRB7"
1929.69025057627,2.29149235981589,0.0711427092906031,32.2097989051222,1.28687874917671e-227,3.85806249003178e-224,"PGAP3"
3982.23705533599,2.07221303870428,0.0660046761546786,31.3949428953814,2.37194477815779e-216,6.09522038135748e-213,"ORMDL3"
2543.44300463032,1.83703896048129,0.0598563016250099,30.6908196899642,7.54657522880609e-207,1.69684744019705e-203,"MED1"
3083.40037236751,1.41119087160219,0.0492530279436561,28.6518602108392,1.51974992938448e-180,3.03747352552979e-177,"MSL1"
244.918582960196,1.63814106782333,0.0576934265486002,28.3938945183536,2.40544871881013e-177,4.32692115539567e-174,"FBXL20"
2054.84754842926,1.48141057088889,0.0524046912048264,28.2686632976946,8.39403486239742e-176,1.3726536282255e-172,"CDK12"
2379.82540364582,1.50430448659428,0.0533209789604063,28.2122443346606,4.13805625249361e-175,6.20294632248792e-172,"MED24"
3371.2092832145,1.28752034563694,0.0496029479089808,25.9565287933992,1.53450362669047e-148,2.12328086437755e-145,"CASC3"
197.979838080384,2.32068758415786,0.0948211895552367,24.474356365314,2.77067986731256e-132,3.55992781808703e-129,"GSDMB"
305.9908448737,1.28209336518867,0.0540133679168643,23.7365936366351,1.51140019320443e-124,1.81247111169075e-121,"LOC90110"
17.0843085965605,2.8565082527514,0.121791517233044,23.4540821696602,1.20101309547335e-121,1.35023897258592e-118,"TCAP"
1584.28113090394,1.17489399341594,0.0517801455200298,22.6900481181819,5.61761957911469e-114,5.94410241112441e-111,"WIPF2"
446.183358327297,0.95891945401272,0.0425968208908917,22.5115263054235,3.20060437559163e-112,3.19847063934124e-109,"CWC25"
1073.93798942777,0.944253219036642,0.0434639485014441,21.7249755623392,1.19149226933725e-104,1.12802962846518e-101,"MRPL45"
645.974119676831,1.71148379634918,0.0789802845260503,21.669759821955,3.95815048521363e-104,3.55996054640114e-101,"CDC6"
